mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.7830142974853516,0.04751941519077849,0.27483081817626953,0.013011362438111395,0.01,50,"{'model__C': 0.01, 'select__k': 50}",1.0,0.9411764705882353,1.0,0.9803921568627452,0.027729677693590107,1
0.7826631863911947,0.014262122458758393,0.28442955017089844,0.013468251210317245,0.01,100,"{'model__C': 0.01, 'select__k': 100}",1.0,0.9411764705882353,1.0,0.9803921568627452,0.027729677693590107,1
0.796568234761556,0.01276123807004647,0.29575196901957196,0.016423623011905572,0.01,500,"{'model__C': 0.01, 'select__k': 500}",1.0,0.9411764705882353,1.0,0.9803921568627452,0.027729677693590107,1
0.7796895503997803,0.054276391901038064,0.2694558302561442,0.007854403870315463,0.01,1000,"{'model__C': 0.01, 'select__k': 1000}",1.0,0.9411764705882353,1.0,0.9803921568627452,0.027729677693590107,1
0.7637635866800944,0.04823012618211956,0.27887868881225586,0.01704862771534398,0.1,50,"{'model__C': 0.1, 'select__k': 50}",1.0,0.9411764705882353,1.0,0.9803921568627452,0.027729677693590107,1
0.7637796401977539,0.06656304094295172,0.27109646797180176,0.006387330563319019,0.1,100,"{'model__C': 0.1, 'select__k': 100}",1.0,0.9411764705882353,1.0,0.9803921568627452,0.027729677693590107,1
0.7091358502705892,0.01900844096559773,0.2840828100840251,0.011560082725655337,0.1,500,"{'model__C': 0.1, 'select__k': 500}",1.0,0.9411764705882353,1.0,0.9803921568627452,0.027729677693590107,1
0.780907392501831,0.010325951193736077,0.2957194646199544,0.023918262337962744,1.0,50,"{'model__C': 1.0, 'select__k': 50}",1.0,0.9411764705882353,1.0,0.9803921568627452,0.027729677693590107,1
0.7392023404439291,0.03499196938694777,0.27115925153096515,0.0023347004796669623,10.0,500,"{'model__C': 10.0, 'select__k': 500}",1.0,0.9411764705882353,1.0,0.9803921568627452,0.027729677693590107,1
0.7723182837168375,0.005629366237906444,0.3054862817128499,0.0015522264658297644,1.0,100,"{'model__C': 1.0, 'select__k': 100}",1.0,0.9411764705882353,1.0,0.9803921568627452,0.027729677693590107,1
0.7660008271535238,0.0118032810230496,0.28385210037231445,0.01734641976823172,1.0,500,"{'model__C': 1.0, 'select__k': 500}",1.0,0.9411764705882353,1.0,0.9803921568627452,0.027729677693590107,1
0.6883053779602051,0.01894495555201865,0.2779703934987386,0.010545721866505894,10.0,50,"{'model__C': 10.0, 'select__k': 50}",1.0,0.9411764705882353,1.0,0.9803921568627452,0.027729677693590107,1
0.7238820393880209,0.017384961623083037,0.28455408414204914,0.010935927585053892,10.0,100,"{'model__C': 10.0, 'select__k': 100}",1.0,0.9411764705882353,1.0,0.9803921568627452,0.027729677693590107,1
0.7280600070953369,0.024599586566978447,0.3037089506785075,0.022723362413360617,0.1,1000,"{'model__C': 0.1, 'select__k': 1000}",1.0,0.875,1.0,0.9583333333333334,0.05892556509887896,14
0.6981244881947836,0.016742924216659908,0.26845447222391766,0.00449939779519718,1.0,1000,"{'model__C': 1.0, 'select__k': 1000}",1.0,0.875,1.0,0.9583333333333334,0.05892556509887896,14
0.722090482711792,0.0029387932543830262,0.2349851926167806,0.020889498049495504,10.0,1000,"{'model__C': 10.0, 'select__k': 1000}",1.0,0.875,1.0,0.9583333333333334,0.05892556509887896,14
