gene,target_correlation,absolute_correlation
gene_25823,-0.9937733232051424,0.9937733232051424
gene_35953,-0.9877276951949618,0.9877276951949618
gene_31190,-0.98145385884708,0.98145385884708
gene_43153,-0.9764401652603409,0.9764401652603409
gene_23754,-0.9742288270711141,0.9742288270711141
gene_31340,-0.9729051902397489,0.9729051902397489
gene_30069,-0.9722713744498838,0.9722713744498838
gene_24850,-0.9689932641310073,0.9689932641310073
gene_20802,-0.9668234269214449,0.9668234269214449
gene_36224,-0.9639517053090578,0.9639517053090578
gene_23230,-0.9606202703122597,0.9606202703122597
gene_17636,-0.9604393092677012,0.9604393092677012
gene_25103,-0.9595149152385352,0.9595149152385352
gene_30749,-0.9581154163453134,0.9581154163453134
gene_43692,-0.9568617271137865,0.9568617271137865
gene_22260,-0.9564825282271991,0.9564825282271991
gene_25706,-0.955759339438276,0.955759339438276
gene_35018,-0.9554531878230534,0.9554531878230534
gene_20931,-0.9551896934931658,0.9551896934931658
gene_23093,-0.9549999383069155,0.9549999383069155
